,context,response,label_
0,呃 来电 是 感谢 你 对 联通 的 支持 嘛 从 下个月 开始 每月 25 元 就 可以 领取 两款 VIP 会员 来用 了 20 多个 会员 随机 选择 呃 联通 还是 返还 你 4 个 月话费 每月 10 元 返还 的 话费 是 可以 直接 抵扣 你 月租费 用 的 田 先生 你好 你 下个月 收 短信 可以 领取 来用 了 好 吧 	 嗯 好 的 好 ,嗯 那 好 那 耽误 20 秒 感谢 你 的 支持 啊 每月 25 元 的 钻石 了 会员 7 月 生效 推动 点 联通 还会 返还 您 10 个 月话费 每月 10 元 话费 会 在 3 月 10 号 前 到 账 你 到时候 根据 短信 提醒 你 在 微信 公众 号 或 音乐 领取 就 可以 就 可以 用 了 好 吧 ,1
1,嗯 那 好 那 耽误 20 秒 感谢 你 的 支持 啊 每月 25 元 的 钻石 了 会员 7 月 生效 推动 点 联通 还会 返还 您 10 个 月话费 每月 10 元 话费 会 在 3 月 10 号 前 到 账 你 到时候 根据 短信 提醒 你 在 微信 公众 号 或 音乐 领取 就 可以 就 可以 用 了 好 吧 	 嗯 好 谢谢 ,嗯 那 好 那 这边 先 不 打扰 您 了 祝您 生活 愉快 再见 嗯 ,1
2,好 的 来电 的话 先 感谢 你 对 联通 的 支持 下个月 开始 每月 25 元 就 可以 领取 两款 入门 的 VIP 会员 的 使用 因为 你 是 我们 联通 的 优质 用户 了 联通 也 会 给 您 返还 回 4 个 月 的 话费 每月 到 账 10 块钱 的 话费 是 可以 直接 帮 你 抵扣 验收 然后 也 希望 你 用 的 好 以后 得到 支持 联通 这边 给 你 受理 好 下个月 收到 短信 就 可以 领取 来 使用 了 好 吧 对 吧 您好 现在 	 这个 我 没 听 我 听 了 没 太 清楚 ,让 大家 重新 建立 嗯 这边 重新 跟 你 说 一遍 嘛 就是说 这边 来电 的话 就是 感谢 你 对 联通 的 支持 的 通知 到 你 的 号码 下个月 开始 然后 每月 25 元 就 可以 领取 两款 入门 的 VIP 会员 的 使用 了 因为 你 是 我们 的 优质 用户 圆通 也 会 给 你 返还 回 4 个 月 的 话费 每月 到 账 10 块钱 的 话费 是 可以 直接 帮 你 抵扣 月租费 用 希望 你 用 得 好 做到 支持 联通 这边 给 你 受理 将 作业 然后 呢 就 可以 领取 了 好 吧 ,1
3,让 大家 重新 建立 嗯 这边 重新 跟 你 说 一遍 嘛 就是说 这边 来电 的话 就是 感谢 你 对 联通 的 支持 的 通知 到 你 的 号码 下个月 开始 然后 每月 25 元 就 可以 领取 两款 入门 的 VIP 会员 的 使用 了 因为 你 是 我们 的 优质 用户 圆通 也 会 给 你 返还 回 4 个 月 的 话费 每月 到 账 10 块钱 的 话费 是 可以 直接 帮 你 抵扣 月租费 用 希望 你 用 得 好 做到 支持 联通 这边 给 你 受理 将 作业 然后 呢 就 可以 领取 了 好 吧 	 嗯 ,那 你 下个月 收到 短信 就 可以 领取 这些 会员 的 了 那 这边 给 你 10 周年 好好 吧 ,1
4,那 你 下个月 收到 短信 就 可以 领取 这些 会员 的 了 那 这边 给 你 10 周年 好好 吧 	 嗯 ,好 的 那 这边 给 那 这边 的话 感谢 你 的 支持 的 从 下个月 开始 正式 入 会员 自愿 生效 自动 确定 每月 收元 返还 回给 你 的话 分 4 个 月 到 账 的 每月 到 账 10 块钱 话费 在 3 月 10 号 前 到 账 给 你 你 到时候 可以 接 短信 及 已 在 微信 公众 号 或 营业 领 会员 就 可以 的 了 好 吧 ,1
5,好 的 那 这边 给 那 这边 的话 感谢 你 的 支持 的 从 下个月 开始 正式 入 会员 自愿 生效 自动 确定 每月 收元 返还 回给 你 的话 分 4 个 月 到 账 的 每月 到 账 10 块钱 话费 在 3 月 10 号 前 到 账 给 你 你 到时候 可以 接 短信 及 已 在 微信 公众 号 或 营业 领 会员 就 可以 的 了 好 吧 	 唉 嗯 ,嗯 那 先生 你 到时候 记得 根据 短信 在 微信 公众 号 上面 关于 音乐 约定 会员 就 可以 用 的 了 好 吧 ,1
6,嗯 那 先生 你 到时候 记得 根据 短信 在 微信 公众 号 上面 关于 音乐 约定 会员 就 可以 用 的 了 好 吧 	   okay   Okay ,好 的 那 这边 就 不 打扰 您 了 感谢您 的 接听 祝您 生活 愉快 再见 ,1
7,您好 中国联通 可以 来电 请问 手机 尾号 1155 是 您 在 用 的 对 吧 	 对 嗯 ,啊 来电 是 感谢 你 对 联通 的 支持 嘛 从 下个月 开始 每月 25 元 就 可以 领取 两款 VIP 会员 了 联通 还会 返还 你 4 个 月话费 每月 10 元 返还 的 话费 是 可以 直接 提供 你 运输 费用 的 给 你 送点 好 下个月 收到 联通 短信 就 可以 领取 来用 了 哈 ,1
8,啊 来电 是 感谢 你 对 联通 的 支持 嘛 从 下个月 开始 每月 25 元 就 可以 领取 两款 VIP 会员 了 联通 还会 返还 你 4 个 月话费 每月 10 元 返还 的 话费 是 可以 直接 提供 你 运输 费用 的 给 你 送点 好 下个月 收到 联通 短信 就 可以 领取 来用 了 哈 	 你 那个 动作 你 那个 说话 的 动作 太快 我 听 都 听 不 清楚 也 提前 的 说 ,那 那 我 再说 一遍 好 吧 ,1
9,就是 每个 月 25 元 嘛 不过 他会 前 呃 前 4 个 月 的话 每个 月 返还 10 元 话费 给 你 那 返还 的 话费 就 可以 直接 抵扣 月租费 用 的 吗 	 嗯 我 没 跟 我 意思 没 听懂 那个 我 花费 是 25 元 是 吧 ,就是 每个 月 在 你 月租 外 额外 扣 25 元 你 可以 领取 两款 VIP 会员 来 用 那 你 ,1
